Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
August 05, 2024 - 09:16:12
Django version 5.0.7, using settings 'transcendence.settings'
Starting ASGI/Channels version 3.0.4 development server at http://0.0.0.0:8000/
HTTP GET /media/profile_pics/download.jpeg 200 [0.02, 172.18.0.13:49966]
HTTP GET /media/profile_pics/59147.jpg 200 [0.02, 172.18.0.13:49954]
HTTP GET /media/profile_pics/back.jpeg 200 [0.02, 172.18.0.13:49944]
HTTP GET /static/home/img/pong-video.mp4 200 [0.03, 172.18.0.13:49980]
HTTP GET / 200 [0.01, 172.18.0.13:35726]
HTTP GET /media/profile_pics/png-transparent-love-heart-red-love-love-text-overlay-love-text-heart-thumbnail.png 200 [0.02, 172.18.0.13:35732]
HTTP GET /media/profile_pics/default.png 200 [0.03, 172.18.0.13:35736]
HTTP GET /media/profile_pics/download.jpeg 200 [0.02, 172.18.0.13:35766]
HTTP GET /media/profile_pics/59147.jpg 200 [0.02, 172.18.0.13:35764]
HTTP GET /static/img/pong.png 200 [0.01, 172.18.0.13:35776]
HTTP GET /media/profile_pics/back.jpeg 200 [0.03, 172.18.0.13:35748]
HTTP GET /static/home/img/pong-video.mp4 200 [0.01, 172.18.0.13:35786]
HTTP GET /static/js/home.js 200 [0.00, 172.18.0.13:35794]
HTTP GET / 200 [0.25, 172.18.0.13:35834]
HTTP GET /static/css/base.css 200 [0.00, 172.18.0.13:35840]
HTTP GET /static/css/header.css 200 [0.00, 172.18.0.13:35854]
HTTP GET /static/js/notif.js 200 [0.00, 172.18.0.13:35870]
HTTP GET /static/leaderboard/css/leaderboard.css 200 [0.00, 172.18.0.13:35874]
HTTP GET /static/img/pong.png 200 [0.01, 172.18.0.13:35900]
HTTP GET /static/chat/css/chat.css 200 [0.01, 172.18.0.13:35910]
HTTP GET /static/home/css/home.css 200 [0.01, 172.18.0.13:35914]
HTTP GET /static/css/home.css 200 [0.01, 172.18.0.13:35916]
HTTP GET /static/progress/css/progress.css 200 [0.01, 172.18.0.13:35944]
HTTP GET /static/login/css/login.css 200 [0.01, 172.18.0.13:35954]
HTTP GET /static/pongTournament/css/pongTournamentLobby.css 200 [0.01, 172.18.0.13:35980]
HTTP GET /static/pongCustom/css/pongCustom.css 200 [0.01, 172.18.0.13:35990]
HTTP GET /static/pongLocal/css/pongLocal.css 200 [0.01, 172.18.0.13:35994]
HTTP GET /static/profil/css/box-skill.css 200 [0.01, 172.18.0.13:36024]
HTTP GET /static/social/css/social.css 200 [0.01, 172.18.0.13:36080]
HTTP GET /static/utils/js/websocket.js 200 [0.00, 172.18.0.13:36126]
HTTP GET /static/menus/js/menus.js 200 [0.01, 172.18.0.13:36150]
HTTP GET /static/social/js/social.js 200 [0.01, 172.18.0.13:36170]
HTTP GET /static/chat/js/chat.js 200 [0.01, 172.18.0.13:36176]
HTTP GET /static/js/home.js 200 [0.01, 172.18.0.13:36186]
HTTP GET /static/home/img/pong-video.mp4 200 [0.01, 172.18.0.13:36188]
HTTP GET /api/@me 301 [0.01, 172.18.0.13:36204]
HTTP GET /api/@me 301 [0.01, 172.18.0.13:36208]
HTTP GET /api/@me/ 200 [0.29, 172.18.0.13:36222]
HTTP GET /api/getHashRoom?roomName=notif_10 301 [0.01, 172.18.0.13:36250]
roomName: 1585352078
HTTP GET /api/getHashRoom/?roomName=notif_10 200 [0.23, 172.18.0.13:36262]
HTTP GET /api/@me/ 200 [0.27, 172.18.0.13:36236]
HTTP GET /game/game 301 [0.00, 172.18.0.13:36268]
HTTP GET /game/game/ 200 [0.24, 172.18.0.13:36284]
HTTP GET /static/img/pong.png 200 [0.01, 172.18.0.13:36292]
HTTP GET /static/home/img/pong-img.png 200 [0.00, 172.18.0.13:36302]
HTTP GET /static/home/img/connect4-img.png 200 [0.01, 172.18.0.13:36314]
HTTP GET /static/home/img/pong-video.mp4 200 [0.01, 172.18.0.13:36324]
HTTP GET /static/home/img/pong-video.mp4 200 [0.02, 172.18.0.13:36328]
HTTP GET /game/pong/local 301 [0.00, 172.18.0.13:36332]
HTTP GET /game/pong/local/ 200 [0.23, 172.18.0.13:36346]
HTTP GET /static/home/img/pong-img.png 200 [0.00, 172.18.0.13:36360]
HTTP GET /static/home/img/connect4-img.png 200 [0.00, 172.18.0.13:36362]
HTTP GET /static/home/img/pong-video.mp4 200 [0.05, 172.18.0.13:36368]
HTTP GET /static/home/img/pong-video.mp4 200 [0.05, 172.18.0.13:36378]
HTTP GET /static/pongLocal/js/bundle.js 200 [0.02, 172.18.0.13:36386]
HTTP GET /static/pong3D/font/font.json 200 [0.00, 172.18.0.13:50316]
Application instance <Task pending name='Task-1171' coro=<StaticFilesWrapper.__call__() running at /root/.local/share/virtualenvs/app-lp47FrbD/lib/python3.11/site-packages/channels/staticfiles.py:44> wait_for=<Task cancelling name='Task-1174' coro=<ASGIHandler.handle.<locals>.process_request() running at /root/.local/share/virtualenvs/app-lp47FrbD/lib/python3.11/site-packages/django/core/handlers/asgi.py:193> wait_for=<Future pending cb=[_chain_future.<locals>._call_check_cancel() at /usr/local/lib/python3.11/asyncio/futures.py:387, Task.task_wakeup()]> cb=[Task.task_wakeup()]>> for connection <WebRequest at 0x728d75132c90 method=GET uri=/en/leaderboard/ clientproto=HTTP/1.0> took too long to shut down and was killed.
Application instance <Task cancelling name='Task-1171' coro=<StaticFilesWrapper.__call__() running at /root/.local/share/virtualenvs/app-lp47FrbD/lib/python3.11/site-packages/channels/staticfiles.py:44> wait_for=<_GatheringFuture pending cb=[Task.task_wakeup()]>> for connection <WebRequest at 0x728d75132c90 method=GET uri=/en/leaderboard/ clientproto=HTTP/1.0> took too long to shut down and was killed.
